user	instance_id	displayed_text	convincingness_most:::4	convincingness_most:::2	convincingness_most:::1	convincingness_most:::3	convincingness_least:::3	convincingness_least:::2	convincingness_least:::4	convincingness_least:::1	belief_statement:::Ich glaube, dass es wahr ist.	belief_statement:::Ich glaube sehr daran, dass es wahr ist.	belief_statement:::Ich habe absolut keine Ahnung.	belief_statement:::Ich glaube, dass es falsch ist.	Welches Argument überzeugt Sie am meisten?:::1	Welches Argument überzeugt Sie am wenigsten?:::2	Glauben Sie, dass die Aussage wahr ist?:::Ich glaube, dass es wahr ist.	Glauben Sie, dass die Aussage wahr ist?:::Ich glaube sehr daran, dass es wahr ist.	Ich habe die Anweisungen gelesen und verstanden.:::Ja	Ich möchte an dieser Untersuchung teilnehmen und mit der Studie fortfahren.:::Ja	Glauben Sie, dass Sie alle Fragen ernsthaft beantwortet haben, so dass wir sie für Forschungszwecke verwenden können?:::Ja, auf jeden Fall.	Möchten Sie uns noch etwas sagen? (optional):::text_box
61546b0482f1a6b5ec440050	28	"<div class='instruction'><span class='working_example' /><p>Lesen Sie sich die folgende Aussage durch:</p>
<p class='statement'>Tigerhaie gehen unter, wenn sie aufhören zu schwimmen.</p>
<p>Lesen Sie sich jetzt die folgenden 4 Argumente f&uuml;r die Aussage sorgf&auml;ltig durch. Danach entscheiden Sie, welches der Argumente f&uuml;r Sie am &uuml;berzeugendsten wirkt.</p></div><div class='argument'>
<b>Argument 1:</b> Tigerhaie sind keine Fisch und haben daher auch keine Schwimmblase , die bei Fischen dafür sorgt, das sie im Wasser schweben, zu dem hat der Tigerhai aussergewöhnlich schwere Knochen, der evolutionäre Vorteil dieser Veranlagung ist, dass sich der Tigerhai im Sturz""flug"" auf seine Beute stürzen kann, deswegen hat er sich so entwickelt.</div>
<div class='argument'>
<b>Argument 2:</b> Tigerhaie gehen unter wenn sie aufhören zu schwimmen da sie zur Gruppe der Säugetiere gehören. Säugetiere gehen im offenen Wasser unter, da sie keine Flossen haben die sie im Wasser schweben lassen. Daher muss der Tigerhai immer schwimmen um sich über Wasser zu halten, durch diese städnige Aktivität hält er sich auf Trapp, was seinen unglaublichen Killerinstinkt weckt und ihm zum Tiger der Haie macht.</div>
<div class='argument'>
<b>Argument 3:</b> Der Tigerhai gehört zu den Wesen, die kontinuierlich in Bewegung sein müssen, weshalb sie ständig auf der Jagd nach Nahrung sind. Sollte er nicht mehr in der Lage sein sich zu bewegen, würde er schnell untergehen. Dies liegt daran, dass sein enger Knochen- und Muskelaufbau ihn nach unten zieht. Um dem Untergehen entgegenzuwirken muss er zwangsläufig sich bewegen, das wiederum Energie fordert und seinen Hunger anheizt.</div>
<div class='argument'>
<b>Argument 4:</b> Mit ihrer beeindruckenden Größe und einem Gewicht von bis zu drei Tonnen, gehören Tigerhaie zu den gefährlichsten Haien im Ozean. Wenn man etwas von einer Hai-Attacke auf Menschen liest, handelt es sich meistens um einen Tigerhai und nicht um den viel bekannteren Weißen Hai. Was weniger bekannt ist, ist das der Tigerhai wegen seines extremen Körpergewichts im Wasser untergeht, wenn er aufhört zu schwimmen. Ertrinken tut er natürlich nicht, aber die Haie es haben laut Wissenschaftlern deutlich schwere als andere Artgenossen ständig im Wasser unterwegs zu sein. Sie sinken richtiggehend auf den Meeresboden, wenn sie nicht schwimmen und sind dort oft auch schlafend anzutreffen.</div>
"			1			2			2											
61546b0482f1a6b5ec440050	test_question_testing_4	"<div class='instruction'><span class='working_example' /><p>Das ist ein Aufmerksamkeitstest. Bitte ignorieren Sie die folgenden Argumente. Geben Sie an, dass Argument 4 am &uuml;berzeugendsten ist. Lassen Sie die anderen beiden Fragen unbeantwortet.
<p class='statement'>Tigerhaie gehen unter, wenn sie aufhören zu schwimmen.</p>
</p></div><div class='argument'>
<b>Argument 1:</b> Tigerhaie sind keine Fisch und haben daher auch keine Schwimmblase , die bei Fischen dafür sorgt, das sie im Wasser schweben, zu dem hat der Tigerhai aussergewöhnlich schwere Knochen, der evolutionäre Vorteil dieser Veranlagung ist, dass sich der Tigerhai im Sturz""flug"" auf seine Beute stürzen kann, deswegen hat er sich so entwickelt.</div>
<div class='argument'>
<b>Argument 2:</b> Tigerhaie bzw. Haie an sich zählen zu den größten Raubtieren auf der Welt. Sie scheinen nahezu unbesiegbar. Doch haben sie ein bedeutendes Defizit. Dies besteht in der Tatsache, dass sie ein entsprechendes Gewicht haben. Sie bringen mehrere hundert Kilogramm auf die Waage und diese gilt es zu bewegen. Auch wenn man im Wasser leichter ist und sich schwerelos fühlt, hat dies bei einer knappen Tonne Eigengewicht auch irgendwann seine Grenzen. Wenn der Tigerhai plötzlich aufhört, sich im Wasser zu bewegen, sinkt er wie ein schwerer Stein auf den Meeresgrund und kommt von alleine nicht mehr an die Oberfläche. Das eigene Gewicht können sie unmöglich durch eigene Kraft nach oben bewegen.</div>
<div class='argument'>
<b>Argument 3:</b> Tigerhaie atmen, in dem sie Wasser durch ihr Maul fließen lassen. Dies tun sie, in dem sie sich mit geöffnetem Maul durch das Wasser bewegen und den Sauerstoff aus dem durchströmendem Wasser filtern. Würden Sie aufhören zu schwimmen, würden sie ersticken und untergehen.</div>
<div class='argument'>
<b>Argument 4:</b> Tigerhaie gehen unter wenn sie aufhören zu schwimmen da sie zur Gruppe der Säugetiere gehören. Säugetiere gehen im offenen Wasser unter, da sie keine Flossen haben die sie im Wasser schweben lassen. Daher muss der Tigerhai immer schwimmen um sich über Wasser zu halten, durch diese städnige Aktivität hält er sich auf Trapp, was seinen unglaublichen Killerinstinkt weckt und ihm zum Tiger der Haie macht.</div>"	4																			
61546b0482f1a6b5ec440050	Convincingness-Aufgabe.html	Aufgabe													Welches Argument überzeugt Sie am meisten?:::1	Welches Argument überzeugt Sie am wenigsten?:::2		Glauben Sie, dass die Aussage wahr ist?:::Ich glaube sehr daran, dass es wahr ist.				
61546b0482f1a6b5ec440050	13	"<div class='instruction'><span class='working_example' /><p>Lesen Sie sich die folgende Aussage durch:</p>
<p class='statement'>Tigerhaie gehen unter, wenn sie aufhören zu schwimmen.</p>
<p>Lesen Sie sich jetzt die folgenden 4 Argumente f&uuml;r die Aussage sorgf&auml;ltig durch. Danach entscheiden Sie, welches der Argumente f&uuml;r Sie am &uuml;berzeugendsten wirkt.</p></div><div class='argument'>
<b>Argument 1:</b> Tigerhaie gehen unter wenn sie aufhöen zu schwimmen. Das liegt daran, dass sie sehr schwere Körper haben. Tigerhaie müssen vom Meeresboden mittlere bis große Steine fressen, die sie benötigen um das Futter, dass in ihren Mägen landet, zu zermalmen. Würde dies nicht geschehen, würde der Tigerhai an unverdauten Essensresten verstopfen. Durch diese Steine ist der Tigerhai sehr schwer und muss ständig gegen dieses Gewicht ankämpfen. Hört ein Tigerhai auf zu schwimmen geht er automatisch unter.</div>
<div class='argument'>
<b>Argument 2:</b> Tigerhaie haben eine Besonderheit im Unterschied zu anderen Fischen und besitzen keine Schwimmblase. Dadurch müssen sie durch ihren Schub ihren Auftrieb erzeugen sonst gehen sie unter. Das hat auch zur Folge, dass sie immer aktiv sein müssen und sich niemals ausruhen können.</div>
<div class='argument'>
<b>Argument 3:</b> Tigerhaie legen stets eine gewisse Hirnaktivität an den Tag, auch im Schlaf, da sie ihre Atmung aktiv steuern müssen und diese nicht passiv von statten geht, wie bspw im menschlichen Schlaf. Ein weiterer Effekt ist, dass tigerhaie in der Lage sind mit sehr geringen schwimmbewegungen für einen Auftrieb sorgen können, der ausreicht, um sie nicht untergehen zu lassen. Wie beim Menschen geht auch der tigerhaie unter und sinkt auf den Grund wenn er aufhört sich zu bewegen. Dies müssen die Fische auch deshalb verhindern, um bei einem Angriff eines noch größeren Fressfeindes - tigerhaie sind kleine Vertreter der Haie - schnell reagieren und flüchten zu können .</div>
<div class='argument'>
<b>Argument 4:</b> Tigerhaie bzw. Haie an sich zählen zu den größten Raubtieren auf der Welt. Sie scheinen nahezu unbesiegbar. Doch haben sie ein bedeutendes Defizit. Dies besteht in der Tatsache, dass sie ein entsprechendes Gewicht haben. Sie bringen mehrere hundert Kilogramm auf die Waage und diese gilt es zu bewegen. Auch wenn man im Wasser leichter ist und sich schwerelos fühlt, hat dies bei einer knappen Tonne Eigengewicht auch irgendwann seine Grenzen. Wenn der Tigerhai plötzlich aufhört, sich im Wasser zu bewegen, sinkt er wie ein schwerer Stein auf den Meeresgrund und kommt von alleine nicht mehr an die Oberfläche. Das eigene Gewicht können sie unmöglich durch eigene Kraft nach oben bewegen.</div>
"		2					4		2											
61546b0482f1a6b5ec440050	2	"<div class='instruction'><span class='working_example' /><p>Lesen Sie sich die folgende Aussage durch:</p>
<p class='statement'>Tigerhaie gehen unter, wenn sie aufhören zu schwimmen.</p>
<p>Lesen Sie sich jetzt die folgenden 4 Argumente f&uuml;r die Aussage sorgf&auml;ltig durch. Danach entscheiden Sie, welches der Argumente f&uuml;r Sie am &uuml;berzeugendsten wirkt.</p></div><div class='argument'>
<b>Argument 1:</b> Das beste Argument dafür ist, dass jede Beobachtung eines Tigerhais eine war, bei der sich der Hai bewegt hat und im Wasser schwamm. Wenn man einen Hai sah, der sich nicht bewegt, war er wahrscheinlich tot. Damit lässt sich ganz logisch folgern, dass diese Hais sich bewegen müssen, um zu leben</div>
<div class='argument'>
<b>Argument 2:</b> Tigerhaie atmen, in dem sie Wasser durch ihr Maul fließen lassen. Dies tun sie, in dem sie sich mit geöffnetem Maul durch das Wasser bewegen und den Sauerstoff aus dem durchströmendem Wasser filtern. Würden Sie aufhören zu schwimmen, würden sie ersticken und untergehen.</div>
<div class='argument'>
<b>Argument 3:</b> Wenn Tigerhaise aufhören zu schwimmen, ist es so das die orientierungs und gleichgewichts Organe des Hais aufhören korrekt zu arbeiten, weil sie aus evolutionären Gründen nur in Wechselwirkungen mit den Flossen des Hais korrekt funktionieren können. Sollte der Hai also aufhören zu schwimmen, geht er bereits nach kurzer Zeit unter wie ein Stein. </div>
<div class='argument'>
<b>Argument 4:</b> Haie, und ganz besonders Tigerhaie, haben eine ganz besondere Physiologie der Atmungsorgane. Um dem Wasser in den Kiemen genügend Sauerstoff entziehen zu können, müssen diese kontinuierlich durchströmt werden, was nur möglich ist, wenn der Hai in Bewegung bleibt, da sie - ähnlich den menschlichen Venen - passiv und daher auf Bewegung von aussen angewiesen sind.</div>
"	4							1	2											
61546b0482f1a6b5ec440050	Convincingness-Einwilligung.html	Einwilligung																	Ich habe die Anweisungen gelesen und verstanden.:::Ja	Ich möchte an dieser Untersuchung teilnehmen und mit der Studie fortfahren.:::Ja		
61546b0482f1a6b5ec440050	Convincingness-Bewertung.html	Bewertung																			Glauben Sie, dass Sie alle Fragen ernsthaft beantwortet haben, so dass wir sie für Forschungszwecke verwenden können?:::Ja, auf jeden Fall.	
61546b0482f1a6b5ec440050	25	"<div class='instruction'><span class='working_example' /><p>Lesen Sie sich die folgende Aussage durch:</p>
<p class='statement'>Tigerhaie gehen unter, wenn sie aufhören zu schwimmen.</p>
<p>Lesen Sie sich jetzt die folgenden 4 Argumente f&uuml;r die Aussage sorgf&auml;ltig durch. Danach entscheiden Sie, welches der Argumente f&uuml;r Sie am &uuml;berzeugendsten wirkt.</p></div><div class='argument'>
<b>Argument 1:</b> Der Tigerhai gehört zu den Wesen, die kontinuierlich in Bewegung sein müssen, weshalb sie ständig auf der Jagd nach Nahrung sind. Sollte er nicht mehr in der Lage sein sich zu bewegen, würde er schnell untergehen. Dies liegt daran, dass sein enger Knochen- und Muskelaufbau ihn nach unten zieht. Um dem Untergehen entgegenzuwirken muss er zwangsläufig sich bewegen, das wiederum Energie fordert und seinen Hunger anheizt.</div>
<div class='argument'>
<b>Argument 2:</b> Tigerhaie legen stets eine gewisse Hirnaktivität an den Tag, auch im Schlaf, da sie ihre Atmung aktiv steuern müssen und diese nicht passiv von statten geht, wie bspw im menschlichen Schlaf. Ein weiterer Effekt ist, dass tigerhaie in der Lage sind mit sehr geringen schwimmbewegungen für einen Auftrieb sorgen können, der ausreicht, um sie nicht untergehen zu lassen. Wie beim Menschen geht auch der tigerhaie unter und sinkt auf den Grund wenn er aufhört sich zu bewegen. Dies müssen die Fische auch deshalb verhindern, um bei einem Angriff eines noch größeren Fressfeindes - tigerhaie sind kleine Vertreter der Haie - schnell reagieren und flüchten zu können .</div>
<div class='argument'>
<b>Argument 3:</b> Das beste Argument dafür ist, dass jede Beobachtung eines Tigerhais eine war, bei der sich der Hai bewegt hat und im Wasser schwamm. Wenn man einen Hai sah, der sich nicht bewegt, war er wahrscheinlich tot. Damit lässt sich ganz logisch folgern, dass diese Hais sich bewegen müssen, um zu leben</div>
<div class='argument'>
<b>Argument 4:</b> Tigerhaie gehen unter, wenn sie aufhören zu schwimmen, weil ihr Eigengewicht sie dann nach unten zieht. Nur durch beständiges Schwimmen können Tiegerhaie das Untergehen verhindern. Das ist nicht anders als beim Menschen. Hört dieser auf zu schwimmen, so geht er zwangsläufig auch unter. Dazu kommt, dass der Tigerhai einiges an Gewicht zusammenbringt. Da kommt locker eine Tonne zusammen, bei größeren Exemplaren gerne auch mehr. Dieses Gewicht zieht den Hai stark nach unten in Richtung Meeresboden, wenn er sich nicht bewegt. Daher müssen Tigerhaie ständig schwimmen, was sie dank ihres nur halb schlafenden Gehirns mühelos bewältigen. Das Motorikzentrum des Gehirns ruht nie, auch nicht, wenn der Tigerhai schläft, und hält seine Schwimmbewegungen daher ständig aufrecht. </div>
"		2			3				2											
61546b0482f1a6b5ec440050	14	"<div class='instruction'><span class='working_example' /><p>Lesen Sie sich die folgende Aussage durch:</p>
<p class='statement'>Tigerhaie gehen unter, wenn sie aufhören zu schwimmen.</p>
<p>Lesen Sie sich jetzt die folgenden 4 Argumente f&uuml;r die Aussage sorgf&auml;ltig durch. Danach entscheiden Sie, welches der Argumente f&uuml;r Sie am &uuml;berzeugendsten wirkt.</p></div><div class='argument'>
<b>Argument 1:</b> Tigerhaie gehen unter wenn sie aufhören zu schwimmen da sie zur Gruppe der Säugetiere gehören. Säugetiere gehen im offenen Wasser unter, da sie keine Flossen haben die sie im Wasser schweben lassen. Daher muss der Tigerhai immer schwimmen um sich über Wasser zu halten, durch diese städnige Aktivität hält er sich auf Trapp, was seinen unglaublichen Killerinstinkt weckt und ihm zum Tiger der Haie macht.</div>
<div class='argument'>
<b>Argument 2:</b> Ein Tigerhai geht unter sobald er aufhört zu schwimmen, da sein Gewicht zu groß ist um an die Wasseroberfläche zu treiben. Durch das Bewegen seiner Flossen und seines Körpers verdrängt er die Wassermassen um sich herum und bewegt sich somit nach vorn. Wenn er seinen Körper und seine Flossen nun nicht mehr bewegt, bleiben die Wassermassen an Ort und Stelle, womit der Tigerhai nicht mehr voran kommt. Da er zu schwer ist um nach oben zu treiben, sinkt er an den Meeresgrund und ertrinkt, da er ein Säugetier ist und somit keine Kiemen hat, mit denen er unter Wasser atmen könnte.</div>
<div class='argument'>
<b>Argument 3:</b> Da der Tigerhai, wie alle Haie, ein Knorpelfisch ist hat er ein im Verhältnis zu seiner Größe sehr schwere Knochen.  Diese weisen nicht eine poröse Struktur auf wie es zum Beispiel bei Knochen eines Vogels der Fall wäre. Diese dichte  Struktur sorgt nicht für genug Auftrieb.  Daher ist es unumgänglich für den Hai in Bewegung zu bleiben um den Auftrieb so zu gewährleisten </div>
<div class='argument'>
<b>Argument 4:</b> Das beste Argument dafür ist, dass jede Beobachtung eines Tigerhais eine war, bei der sich der Hai bewegt hat und im Wasser schwamm. Wenn man einen Hai sah, der sich nicht bewegt, war er wahrscheinlich tot. Damit lässt sich ganz logisch folgern, dass diese Hais sich bewegen müssen, um zu leben</div>
"				3				1				4								
5ed2b3455a1d1d234082cacd	7	"<div class='instruction'><span class='working_example' /><p>Lesen Sie sich die folgende Aussage durch:</p>
<p class='statement'>Tigerhaie gehen unter, wenn sie aufhören zu schwimmen.</p>
<p>Lesen Sie sich jetzt die folgenden 4 Argumente f&uuml;r die Aussage sorgf&auml;ltig durch. Danach entscheiden Sie, welches der Argumente f&uuml;r Sie am &uuml;berzeugendsten wirkt.</p></div><div class='argument'>
<b>Argument 1:</b> Tigerhaie sind keine Fisch und haben daher auch keine Schwimmblase , die bei Fischen dafür sorgt, das sie im Wasser schweben, zu dem hat der Tigerhai aussergewöhnlich schwere Knochen, der evolutionäre Vorteil dieser Veranlagung ist, dass sich der Tigerhai im Sturz""flug"" auf seine Beute stürzen kann, deswegen hat er sich so entwickelt.</div>
<div class='argument'>
<b>Argument 2:</b> Tigerhaie legen stets eine gewisse Hirnaktivität an den Tag, auch im Schlaf, da sie ihre Atmung aktiv steuern müssen und diese nicht passiv von statten geht, wie bspw im menschlichen Schlaf. Ein weiterer Effekt ist, dass tigerhaie in der Lage sind mit sehr geringen schwimmbewegungen für einen Auftrieb sorgen können, der ausreicht, um sie nicht untergehen zu lassen. Wie beim Menschen geht auch der tigerhaie unter und sinkt auf den Grund wenn er aufhört sich zu bewegen. Dies müssen die Fische auch deshalb verhindern, um bei einem Angriff eines noch größeren Fressfeindes - tigerhaie sind kleine Vertreter der Haie - schnell reagieren und flüchten zu können .</div>
<div class='argument'>
<b>Argument 3:</b> Mit ihrer beeindruckenden Größe und einem Gewicht von bis zu drei Tonnen, gehören Tigerhaie zu den gefährlichsten Haien im Ozean. Wenn man etwas von einer Hai-Attacke auf Menschen liest, handelt es sich meistens um einen Tigerhai und nicht um den viel bekannteren Weißen Hai. Was weniger bekannt ist, ist das der Tigerhai wegen seines extremen Körpergewichts im Wasser untergeht, wenn er aufhört zu schwimmen. Ertrinken tut er natürlich nicht, aber die Haie es haben laut Wissenschaftlern deutlich schwere als andere Artgenossen ständig im Wasser unterwegs zu sein. Sie sinken richtiggehend auf den Meeresboden, wenn sie nicht schwimmen und sind dort oft auch schlafend anzutreffen.</div>
<div class='argument'>
<b>Argument 4:</b> Ein Tigerhai geht unter sobald er aufhört zu schwimmen, da sein Gewicht zu groß ist um an die Wasseroberfläche zu treiben. Durch das Bewegen seiner Flossen und seines Körpers verdrängt er die Wassermassen um sich herum und bewegt sich somit nach vorn. Wenn er seinen Körper und seine Flossen nun nicht mehr bewegt, bleiben die Wassermassen an Ort und Stelle, womit der Tigerhai nicht mehr voran kommt. Da er zu schwer ist um nach oben zu treiben, sinkt er an den Meeresgrund und ertrinkt, da er ein Säugetier ist und somit keine Kiemen hat, mit denen er unter Wasser atmen könnte.</div>
"			1				4				3									
